OACI,CIAD,Nome,Município,Longitude,Latitude,Operação,Altitude,Rampa de Aproximação,Formato da Área de Pouso,Dimensões,Resistência,Superfície,Validade do Registro,Portaria de Registro,Link
SIGV,SP0497,Rede Record,SÃO PAULO,"046°39'45,1""O","23°31'25,5""S",VFR Diurna/Noturna,,33,Quadrado,19.5m x 19.5m,,Metálico,14/02/2029,,
SDUJ,SP0431,Millennium,SÃO PAULO,"046°41'00,0""O","23°34'59,4""S",VFR Diurna/Noturna,,15 31,Quadrado,18m x 18m,Aguardando dados,Aguardando dados,Aguardando dados,PA2013-0796,https://pergamum.anac.gov.br/arquivos/PA2013-0796.pdf
SNID,SP0707,Instituto Dr. Arnaldo,SÃO PAULO,"046°40'41,0""O","23°33'22,0""S",VFR Diurna/Noturna,,5,Quadrado,21m x 21m,Aguardando dados,Aguardando dados,Aguardando dados,PA2012-1330,https://pergamum.anac.gov.br/arquivos/PA2012-1330.pdf
SNLR,SP0713,Itautec,SÃO PAULO,"046°34'20,0""O","23°31'52,0""S",VFR Diurna/Noturna,,8,Quadrado,21m x 21m,Aguardando dados,Aguardando dados,Aguardando dados,PA2012-2497,https://pergamum.anac.gov.br/arquivos/PA2012-2497.pdf
SNPH,SP0720,Rei da Pamonha,SÃO PAULO,"046°45'25,0""O","23°26'42,0""S",VFR Diurna/Noturna,,29,Quadrado,24m x 24m,Aguardando dados,Aguardando dados,Aguardando dados,PA2013-2028,https://pergamum.anac.gov.br/arquivos/PA2013-2028.pdf
SNQC,SP0722,IGESP,SÃO PAULO,"046°39'03,0""O","23°33'40,0""S",VFR Diurna,,24 36,Quadrado,"19,6m x 19.6m",,Concreto,12/08/2021,,
SNRW,SP0729,Reik Morumbi,SÃO PAULO,"046°42'26,0""O","23°35'52,0""S",VFR Diurna,,5,Quadrado,18m x 18m,Aguardando dados,Aguardando dados,Aguardando dados,Aguardando dados,https://pergamum.anac.gov.br/arquivos/PA2018-1216.pdf
SNXJ,SP0737,Juscelino Plaza,SÃO PAULO,"046°40'31,9""O","23°35'20,8""S",VFR Diurna/Noturna,,7 10,Quadrado,18m x 18m,Aguardando dados,Aguardando dados,Aguardando dados,PA2013-0874,https://pergamum.anac.gov.br/arquivos/PA2013-0874.pdf
SSXK,SP0789,Kartódromo Ayrton Senna,SÃO PAULO,"046°41'33""O","23°42'11,0""S",VFR Diurna,,14 32,Quadrado,19.5m x 19.5m,,Concreto,13/11/2022,PA2019-1161,https://pergamum.anac.gov.br/arquivos/PA2019-1161.pdf
SSQX,SP0773,Frei Caneca Shopping,SÃO PAULO,"046°39'10,0""O","23°33'14,0""S",VFR Diurna/Noturna,,27,Quadrado,21m x 21m,,Concreto,08/08/2021,PA2016-0595,https://pergamum.anac.gov.br/arquivos/PA2016-0595.pdf
SDJY,SP0369,Paulista Capital Plaza - The Flat,SÃO PAULO,"046°38'47,0""O","23°34'18,0""S",VFR Diurna/Noturna,,12,Quadrado,18m x 18m,,Concreto,,,
